ID;Country;Continent;Price;Highest.point;Lowest.point;Beginner.slopes;Intermediate.slopes;Difficult.slopes;Total.slopes;Longest.run;Snow.cannons;Surface.lifts;Chair.lifts;Gondola.lifts;Total.lifts;Lift.capacity;Child.friendly;Snowparks;Nightskiing;Summer.skiing
58;France;Europe;50;3167;1207;139;59;27;225;6;417;56;32;12;100;136733;Yes;Yes;No;No
59;France;Europe;35;2720;1550;30;60;10;100;0;190;11;9;0;20;21020;Yes;Yes;No;No
60;France;Europe;40;2069;1000;132;49;11;192;7;472;53;30;0;83;90852;Yes;Yes;Yes;No
61;France;Europe;51;2466;1000;310;210;60;580;0;1074;89;74;11;174;252280;Yes;Yes;Yes;No
62;France;Europe;51;2466;1000;310;210;60;580;0;1074;89;74;11;174;252280;Yes;Yes;Yes;No
63;France;Europe;37;1360;932;21;12;3;36;0;0;6;4;1;11;13038;Yes;Yes;No;No
64;France;Europe;35;1756;1516;3;1;0;4;0;0;2;1;1;4;4150;Yes;No;No;No
65;France;Europe;49;3534;1470;3;0;0;3;0;0;1;0;2;3;1460;Yes;No;No;No
66;France;Europe;61;3230;1110;312;216;72;600;12;2383;62;63;40;165;250860;Yes;Yes;Yes;No
67;France;Europe;61;3230;1110;312;216;72;600;0;2383;62;63;40;165;250860;Yes;Yes;Yes;No
68;France;Europe;51;3330;1125;70;130;50;250;16;963;27;21;20;68;92097;Yes;Yes;Yes;No
69;France;Europe;61;3230;1110;312;216;72;600;0;2383;62;63;40;165;250860;Yes;Yes;Yes;No
70;France;Europe;31;2620;1550;10;25;6;41;0;10;2;4;0;6;7100;Yes;No;No;No
71;France;Europe;50;3226;1200;104;70;26;200;7;793;17;27;8;52;82641;Yes;Yes;Yes;No
72;France;Europe;48;2749;1372;96;220;84;400;0;0;29;35;7;71;96433;Yes;No;Yes;No
73;France;Europe;28;3000;1850;13;11;1;25;0;0;8;3;0;11;8213;Yes;No;No;No
74;France;Europe;61;3230;1110;312;216;72;600;0;2383;62;63;40;165;250860;Yes;Yes;Yes;No
75;France;Europe;49;2800;1200;138;80;32;250;9;575;33;21;7;61;72066;Yes;Yes;Yes;No
76;Switzerland;Europe;55;2320;944;33;56;13;102;13;0;10;10;6;26;29250;Yes;No;No;No
77;France;Europe;51;2270;1453;13;16;0;29;0;0;8;2;2;12;14860;Yes;Yes;No;No
78;France;Europe;62;3275;1252;6;9;14;29;6;0;1;4;4;9;15756;Yes;Yes;No;No
79;United States;North America;119;3676;2743;11;53;79;143;7;36;5;19;1;25;41130;Yes;Yes;No;No
80;Andorra;Europe;37;2625;1940;13;14;3;30;5;106;10;4;1;15;14240;Yes;Yes;No;No
81;Finland;Europe;43;492;291;9;7;2;18;1;70;17;5;0;22;22915;Yes;Yes;Yes;No
82;Finland;Europe;43;531;206;15;19;2;36;2;267;25;2;2;29;30110;Yes;Yes;Yes;No
83;Japan;Asia;57;1200;300;20;16;8;44;0;0;1;26;5;32;42400;Yes;Yes;Yes;No
84;Slovenia;Europe;33;1215;800;10;8;2;20;2;0;15;5;0;20;17774;Yes;Yes;Yes;No
85;Andorra;Europe;47;2640;1710;100;77;33;210;0;1032;37;28;7;72;99017;Yes;Yes;Yes;No
86;Bulgaria;Europe;30;2560;990;20;24;3;47;16;380;7;8;2;17;24233;Yes;Yes;Yes;No
87;United States;North America;82;3215;2600;29;46;40;115;4;0;3;7;0;10;13100;Yes;No;Yes;No
88;United States;North America;124;3418;2422;0;49;54;103;4;0;0;7;1;8;13400;Yes;No;No;No
89;United States;North America;124;3559;2451;24;40;70;134;5;0;0;5;0;5;7085;Yes;No;No;No
90;United States;North America;102;2760;1890;25;45;30;100;5;0;6;21;2;29;42932;Yes;Yes;Yes;No
91;United States;North America;127;3433;2457;57;84;93;234;6;0;9;20;2;31;54858;Yes;Yes;No;No
92;Austria;Europe;50;3029;1978;13;25;3;41;5;105;5;5;7;17;33598;Yes;Yes;No;Yes
93;United States;North America;85;2850;1950;5;28;15;48;5;400;2;6;3;11;17026;Yes;Yes;No;No
94;United States;North America;141;3488;2255;28;64;57;149;4;0;8;13;3;24;38200;Yes;Yes;No;No
95;United Kingdom;Europe;35;1070;360;7;10;7;24;0;0;6;2;0;8;5800;Yes;No;No;No
96;Austria;Europe;53;3340;1350;70;44;29;143;15;363;12;16;8;36;70370;Yes;Yes;Yes;No
97;Austria;Europe;37;2520;1938;6;26;8;40;4;80;6;5;1;12;17254;Yes;Yes;Yes;No
98;United States;North America;140;3914;2926;28;60;65;153;5;0;15;18;1;34;43880;Yes;Yes;No;No
99;Austria;Europe;46;2313;1630;61;35;4;100;5;280;11;18;2;31;50797;Yes;Yes;Yes;No
100;Austria;Europe;29;2080;981;0;7;0;7;5;0;3;0;1;4;2980;Yes;No;No;No
101;Austria;Europe;49;2820;1200;47;123;28;198;10;1250;40;16;12;68;78460;Yes;Yes;Yes;No
102;Austria;Europe;52;1900;800;52;41;19;112;9;520;21;9;5;35;49232;Yes;Yes;Yes;No
103;Austria;Europe;52;2500;630;40;66;30;136;10;286;31;17;9;57;82432;Yes;Yes;No;No
104;Austria;Europe;53;2811;1270;130;123;51;304;10;747;53;45;15;113;145127;Yes;Yes;No;No
105;Austria;Europe;38;2340;1580;7;21;2;30;3;0;3;6;1;10;13322;Yes;Yes;No;No
106;Austria;Europe;52;1980;740;30;81;4;115;0;600;22;16;11;49;75398;Yes;Yes;No;No
